RatingScore	QiList	Cargill
9360477	9360477	9360477
9666522	9666522	9666522
9240811	9240811	9240811
9317456	9317456	9317456
9411927	9411927	9411927
9729025	9729025	9729025
9336763	9336763	9336763
9827516	9827516	9827516
9723617	9723617	9723617
9588366	9588366	9588366
9200354	9200354	9200354
9460514	9460514	9460514
9751303	9751303	9751303
9428463	9428463	9428463
9581241	9581241	9581241
9470923	9702687	9702687
9702687	9729178	9729178
9729178	9434400	9434400
9434400	9749946	9749946
9749946	9278545	9278545
9278545	9511349	9511349
9511349	9530955	9530955
9530955	9357767	9357767
9357767	9450832	9450832
9450832	9304095	9304095
9304095	9469558	9469558
9469558	9446453	9446453
9446453	9363089	9363089
9363089	9224843	9224843
9224843	9752151	9752151
9752151	9718739	9718739
9718739	9527180	9527180
9527180	9747297	9747297
9747297	9552343	9552343
9552343	9401960	9401960
9401960	9332183	9332183
9332183	9668269	9668269
9668269	9316012	9316012
9316012	9367243	9367243
9367243	9374351	9374351
9374351	9310288	9310288
9310288	9478846	9478846
9478846	9729489	9729489
9729489	9228057	9228057
9228057	9319416	9319416
9319416	9698185	9698185
9698185	9717254	9717254
9717254	9490818	9490818
9801249	9670420	9670420
9490818	9703825	9703825
9670420	9703813	9703813
9703825	9165451	9165451
9703813	9453377	9453377
9165451	9374014	9374014
9453377	9400394	9400394
9374014	9711925	9711925
9400394	9573945	9573945
9711925	9737565	9737565
9573945	9633197	9633197
9737565	9598294	9598294
9633197	9426245	9426245
9598294	9426192	9426192
9426245	9839014	9839014
9426192	9691589	9691589
9839014	9628570	9628570
9691589	9473315	9473315
9628570	9479307	9479307
9473315	9446908	9446908
9479307	9227194	9227194
9446908	9583201	9583201
9227194	9450868	9450868
9583201	9478884	9478884
9450868	9304174	9304174
9837286	9594597	9594597
9478884	9403516	9403516
9304174	9331921	9331921
9594597	9184811	9184811
9643154	9539286	9539286
9383950	9539274	9539274
9403516	9606003	9606003
9743291	9500091	9500091
9331921	9743277	9743277
9184811	9531454	9531454
9539286	9404998	9404998
9539274	9304112	9304112
9606003	9414929	9414929
9500091	9610224	9610224
9743289	9670418	9670418
9743277	9748409	9748409
9531454	9661871	9661871
9404998	9638173	9638173
9304112	9694488	9694488
9414929	9646194	9646194
9610224	9228588	9228588
9670418	9632959	9632959
9748409	9687708	9687708
9791896	9723057	9723057
9661871	9543756	9543756
9638173	9753648	9753648
9694488	9468126	9468126
9646194	9729881	9729881
9228588	9643726	9643726
9806354	9746102	9746102
9632959	9557874	9557874
9687708	9290880	9290880
9723057	9594925	9594925
9543756	9479204	9479204
9753648	9725471	9725471
9468126	9460289	9460289
9729881	9736353	9736353
9643726	9395264	9395264
9746102	9606039	9606039
9557874	9313060	9313060
9290880	9612959	9612959
9798349	9592173	9592173
